com.samsung.shealth.stand_day_summary,6320001,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,0,,2019-09-11 15:00:03.389,2019-09-11 15:00:03.389,6fBBpnPaJ6,com.sec.android.app.shealth,422d6c0e-5f05-fd88-3585-30c7cfec5dee,1568246400000,
,0,,2019-09-12 15:00:13.668,2019-09-12 15:00:13.668,6fBBpnPaJ6,com.sec.android.app.shealth,ff2fe28c-f3c5-0cd3-7f43-146b7b52348a,1568332800000,
,0,,2019-09-13 15:00:03.742,2019-09-13 15:00:03.742,6fBBpnPaJ6,com.sec.android.app.shealth,034c1ddb-f8de-acee-50db-69d12dfdaa4f,1568419200000,
,0,,2019-09-14 15:00:06.497,2019-09-14 15:00:06.497,6fBBpnPaJ6,com.sec.android.app.shealth,924b44d1-c47a-c75b-3717-31c88b469c75,1568505600000,
,2097152,,2019-09-16 12:32:26.234,2019-09-15 15:00:03.590,6fBBpnPaJ6,com.sec.android.app.shealth,79cdc8a3-bf6f-80cc-e675-4b35d5704adc,1568592000000,
,6946816,,2019-09-17 13:50:07.226,2019-09-16 15:00:05.226,6fBBpnPaJ6,com.sec.android.app.shealth,ef4161f3-338a-c079-1b81-c301b4dc675f,1568678400000,
,5767169,,2019-09-18 13:53:14.220,2019-09-17 15:00:04.628,6fBBpnPaJ6,com.sec.android.app.shealth,0f36a32f-a521-9f40-903e-0def8b2f9338,1568764800000,
,2097152,,2019-09-19 12:22:31.275,2019-09-18 15:00:05.802,6fBBpnPaJ6,com.sec.android.app.shealth,225195d3-7409-d886-c95f-fcc9b13915e8,1568851200000,
,0,,2019-09-19 15:00:09.664,2019-09-19 15:00:09.664,6fBBpnPaJ6,com.sec.android.app.shealth,3eaac3e8-6b51-93e9-97b2-21f052e742d8,1568937600000,
,32,,2019-09-20 20:46:02.231,2019-09-20 15:00:05.446,6fBBpnPaJ6,com.sec.android.app.shealth,71c561f9-997a-b7af-cce4-0af06fc13bd8,1569024000000,
,0,,2019-09-21 15:00:10.667,2019-09-21 15:00:10.667,6fBBpnPaJ6,com.sec.android.app.shealth,d745825c-125f-7279-aa5b-5f3dae39371f,1569110400000,
,0,,2019-09-30 13:00:12.719,2019-09-30 13:00:12.719,eSltdGxx7w,com.sec.android.app.shealth,d0b3d63b-7c0b-3f67-83c5-3171e398bdea,1569801600000,
,1048578,,2019-10-01 11:09:56.302,2019-09-30 15:00:02.866,eSltdGxx7w,com.sec.android.app.shealth,f1506695-b4d2-64d9-0f56-ed2b9bf69a81,1569888000000,
,598018,,2019-10-02 10:01:48.289,2019-10-01 15:00:11.643,eSltdGxx7w,com.sec.android.app.shealth,b3fd0bc6-8d97-02f0-beed-340b360198d8,1569974400000,
,0,,2019-10-02 15:00:03.792,2019-10-02 15:00:03.792,eSltdGxx7w,com.sec.android.app.shealth,d4993be4-791f-7c03-27e8-e2d56434b40b,1570060800000,
,65536,,2019-10-04 07:55:34.296,2019-10-03 15:00:04.525,eSltdGxx7w,com.sec.android.app.shealth,ea0602e0-d9c1-eb55-5cf4-2cebcae2aa22,1570147200000,
,16384,,2019-10-05 05:56:51.351,2019-10-04 15:00:04.644,eSltdGxx7w,com.sec.android.app.shealth,6bd4416d-f737-e738-db0e-12ae1b4b838f,1570233600000,
,0,,2019-10-05 15:00:09.016,2019-10-05 15:00:09.016,eSltdGxx7w,com.sec.android.app.shealth,bd64840c-ddcd-3f84-ff19-f48ef95f2ce4,1570320000000,
,294912,,2019-10-07 09:46:32.320,2019-10-06 15:00:05.394,eSltdGxx7w,com.sec.android.app.shealth,d472dbb7-bdbb-f846-857d-1c7fbd203cc2,1570406400000,
,2686977,,2019-10-08 12:36:45.335,2019-10-07 15:00:06.863,eSltdGxx7w,com.sec.android.app.shealth,3951cd3a-ed64-834b-22ca-8290107d51e8,1570492800000,
,5046276,,2019-10-09 13:45:27.334,2019-10-08 15:00:02.538,eSltdGxx7w,com.sec.android.app.shealth,b88a0455-6252-9d34-63b0-e8f7875ca3dc,1570579200000,
,2457600,,2019-10-10 12:13:19.329,2019-10-09 15:00:08.569,eSltdGxx7w,com.sec.android.app.shealth,b679fc10-6462-99dd-6922-805f836a0613,1570665600000,
,1179648,,2019-10-11 11:28:01.322,2019-10-10 15:00:04.842,eSltdGxx7w,com.sec.android.app.shealth,08468a8c-6857-2826-a1fe-35a16236f2a0,1570752000000,
,11177988,,2019-10-12 14:28:32.307,2019-10-11 15:00:03.536,eSltdGxx7w,com.sec.android.app.shealth,c56f7377-2182-93be-89fa-4e5c97704d5a,1570838400000,
,0,,2019-10-12 15:00:04.653,2019-10-12 15:00:04.653,eSltdGxx7w,com.sec.android.app.shealth,a2fe6dcb-68ef-1208-13fc-177b399f2be2,1570924800000,
,4456448,,2019-10-14 13:07:18.397,2019-10-13 15:00:05.279,eSltdGxx7w,com.sec.android.app.shealth,a0f28723-4afa-581c-f4b9-b62f51169d84,1571011200000,
,8421376,,2019-10-15 14:40:57.339,2019-10-14 15:00:04.949,eSltdGxx7w,com.sec.android.app.shealth,a55a3e5c-ff84-e9b7-bed8-ea2c4dc248f7,1571097600000,
,3702785,,2019-10-16 12:01:52.347,2019-10-15 15:00:05.608,eSltdGxx7w,com.sec.android.app.shealth,5ac378b9-0ac2-1c5e-c8d1-9567dfa4c9ff,1571184000000,
,262144,,2019-10-17 09:22:39.443,2019-10-16 15:00:06.708,eSltdGxx7w,com.sec.android.app.shealth,92cf12e0-ac84-a377-0c1b-f95e10dc6a6a,1571270400000,
,0,,2019-10-17 15:00:04.518,2019-10-17 15:00:04.517,eSltdGxx7w,com.sec.android.app.shealth,b4709a21-fe32-6431-84f9-854ef59f6075,1571356800000,
,4194304,,2019-10-20 08:53:14.374,2019-10-18 15:00:09.856,eSltdGxx7w,com.sec.android.app.shealth,144e10fe-8c68-3841-fdfc-0727fd7cf969,1571443200000,
,0,,2019-10-20 10:00:06.783,2019-10-19 15:00:03.539,eSltdGxx7w,com.sec.android.app.shealth,8365e07a-8325-851c-3207-dfbcd85efcd3,1571529600000,
