com.samsung.shealth.badge,6320001,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2025-05-08 00:00:00.000,,,1,,2025-05-07 23:16:18.015,2025-05-07 23:16:18.015,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-05-08 00:00:00.000,c6e7c97e-040e-4b6c-b78e-f9a62eb68f05,
1,2025-05-09 15:00:00.000,,,1,,2025-05-10 01:15:21.466,2025-05-10 01:15:21.466,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-05-10 14:59:59.999,0097aa1b-ad7a-4ea5-8461-e7cc7a90a865,
1,2025-05-14 15:00:00.000,,,1,,2025-05-14 23:30:04.473,2025-05-14 23:30:04.473,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-05-15 14:59:59.999,d1815ef3-dde1-4a1e-92b7-0d6a8c95550a,
1,2025-05-22 15:00:00.000,,,1,,2025-05-22 23:31:48.237,2025-05-22 23:31:48.237,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-05-23 14:59:59.999,e982b5a2-c4c8-4c8e-a43b-f7cad65e80d0,
0,2025-06-03 06:22:25.932,,,0,,2025-12-26 01:45:34.611,2025-06-03 06:22:26.714,,weight_1_month_streak,,,UTC+0900,,SiE8w+zjCP,com.sec.android.app.shealth,,tracker.weight,2025-06-03 06:22:25.932,e4d86533-af37-4853-8f0f-9a69d324e5b6,
,2025-06-03 06:22:25.932,,,1,,2025-06-03 06:22:26.830,2025-06-03 06:22:26.830,,weight_first_body_check,,,UTC+0900,,SiE8w+zjCP,com.sec.android.app.shealth,,tracker.weight,2025-06-03 06:22:25.932,26994ca9-ba3b-4011-9685-2cab90c915d9,
,2025-06-10 00:00:00.000,,,1,,2025-06-09 22:54:49.032,2025-06-09 22:54:49.032,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-06-10 00:00:00.000,bad29b88-9da6-46de-acb9-f662f1bb3699,
1,2025-06-23 15:00:00.000,,,1,,2025-06-23 23:30:12.590,2025-06-23 23:30:12.590,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-06-24 14:59:59.999,bec2d2d9-8380-4635-9ebb-98aeba7cd24c,
,2025-06-24 00:00:00.000,,,1,,2025-06-23 23:30:17.696,2025-06-23 23:30:17.696,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-06-24 00:00:00.000,1faa22e6-79e2-4ea4-9823-c3a2e28e77a4,
1,2025-07-07 15:00:00.000,,,1,,2025-07-07 23:00:01.526,2025-07-07 23:00:01.526,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-07-08 14:59:59.999,6a044880-560e-4b8c-94e7-4e27cd8819a5,
